+---------+------------+-----------+-------------+----------------+------------------+
| item_sk | d_date     | web_sales | store_sales | web_cumulative | store_cumulative |
| 37      | 2000-01-05 | 136.71    |             | 136.71         | 106.03           |
| 37      | 2000-01-06 |           | 111.82      | 136.71         | 111.82           |
| 37      | 2000-01-24 |           | 134.51      | 136.71         | 134.51           |
| 37      | 2000-02-04 | 176.29    |             | 176.29         | 145.13           |
| 37      | 2000-02-07 |           | 145.13      | 176.29         | 145.13           |
| 37      | 2000-02-26 |           | 149.83      | 176.29         | 149.83           |
| 37      | 2000-03-14 |           | 161.01      | 176.29         | 161.01           |
| 37      | 2000-03-15 |           | 164.40      | 176.29         | 164.40           |
| 37      | 2000-03-16 |           | 164.40      | 176.29         | 164.40           |
| 37      | 2000-03-21 | 203.97    |             | 203.97         | 164.40           |
| 37      | 2000-04-03 | 208.51    |             | 208.51         | 164.40           |
| 37      | 2000-04-05 | 263.04    |             | 263.04         | 164.40           |
| 37      | 2000-04-07 | 367.78    |             | 367.78         | 164.40           |
| 37      | 2000-04-10 |           | 203.26      | 367.78         | 203.26           |
| 37      | 2000-05-04 | 446.26    |             | 446.26         | 203.26           |
| 37      | 2000-05-09 |           | 300.02      | 446.26         | 300.02           |
| 37      | 2000-05-13 | 507.85    |             | 507.85         | 300.02           |
| 37      | 2000-05-23 |           | 319.79      | 507.85         | 319.79           |
| 37      | 2000-06-21 |           | 355.11      | 507.85         | 355.11           |
| 37      | 2000-06-26 |           | 392.21      | 507.85         | 392.21           |
| 37      | 2000-07-15 |           | 394.18      | 507.85         | 394.18           |
| 37      | 2000-07-17 |           | 396.94      | 507.85         | 396.94           |
| 37      | 2000-07-24 | 519.67    |             | 519.67         | 396.94           |
| 37      | 2000-08-04 |           | 507.14      | 519.67         | 507.14           |
| 37      | 2000-08-13 |           | 512.20      | 519.67         | 512.20           |
| 37      | 2000-08-14 |           | 518.76      | 519.67         | 518.76           |
| 41      | 2000-01-21 |           | 72.70       | 115.36         | 72.70            |
| 47      | 2000-01-19 |           | 95.71       | 113.23         | 95.71            |
| 47      | 2000-02-17 | 146.76    |             | 146.76         | 146.27           |
| 5       | 2000-01-25 | 193.18    |             | 193.18         | 93.88            |
| 5       | 2000-01-29 |           | 162.45      | 193.18         | 162.45           |
| 5       | 2000-01-31 |           | 184.53      | 193.18         | 184.53           |
| 5       | 2000-02-23 |           | 189.68      | 193.18         | 189.68           |
| 53      | 2000-01-08 | 38.38     |             | 38.38          | 7.50             |
| 53      | 2000-01-09 | 61.72     |             | 61.72          | 7.50             |
| 53      | 2000-01-15 |           | 31.20       | 61.72          | 31.20            |
| 61      | 2000-01-02 | 64.44     | 7.73        | 64.44          | 7.73             |
| 61      | 2000-01-07 | 79.56     | 33.81       | 79.56          | 33.81            |
| 61      | 2000-02-17 | 257.98    |             | 257.98         | 189.63           |
| 61      | 2000-03-01 |           | 240.65      | 257.98         | 240.65           |
| 65      | 2000-01-03 | 71.96     |             | 71.96          | 66.75            |
| 68      | 2000-01-19 | 14.25     |             | 14.25          | 6.38             |
| 68      | 2000-01-21 |           | 8.61        | 14.25          | 8.61             |
| 71      | 2000-01-02 | 35.36     | 2.26        | 35.36          | 2.26             |
| 71      | 2000-01-11 |           | 6.59        | 35.36          | 6.59             |
| 86      | 2000-01-19 | 83.91     |             | 83.91          | 2.39             |
| 98      | 2000-01-18 | 20.64     |             | 20.64          | 20.14            |
| 98      | 2000-03-29 | 233.74    |             | 233.74         | 219.29           |
| 98      | 2000-04-23 | 462.63    | 284.52      | 462.63         | 284.52           |
| 98      | 2000-05-01 |           | 413.39      | 462.63         | 413.39           |
| 98      | 2000-05-06 |           | 438.37      | 462.63         | 438.37           |
+---------+------------+-----------+-------------+----------------+------------------+
