+-----------+-------+------------+------------+---------------+---------------+-------------+-------------+----------------+-------------------------+
| prev_year | year_ | i_brand_id | i_class_id | i_category_id | i_manufact_id | prev_yr_cnt | curr_yr_cnt | sales_cnt_diff | sales_amt_diff          |
| 2001      | 2002  | 5003001    | 3          | 9             | 92            | 5743        | 4329        | -1414          | -17800.670000000000000  |
| 2001      | 2002  | 6013005    | 12         | 9             | 513           | 5396        | 3724        | -1672          | -111944.580000000000000 |
| 2001      | 2002  | 6015001    | 15         | 9             | 543           | 5012        | 4051        | -961           | -61709.330000000000000  |
| 2001      | 2002  | 7004003    | 10         | 9             | 274           | 5580        | 4654        | -926           | -14969.340000000000000  |
| 2001      | 2002  | 7004005    | 4          | 9             | 156           | 6010        | 5034        | -976           | 46147.830000000000000   |
| 2001      | 2002  | 7007001    | 12         | 9             | 221           | 6181        | 4735        | -1446          | -70024.210000000000000  |
| 2001      | 2002  | 7014009    | 1          | 9             | 270           | 5641        | 4573        | -1068          | -34073.810000000000000  |
| 2001      | 2002  | 8002001    | 13         | 9             | 268           | 5221        | 4332        | -889           | -82807.130000000000000  |
| 2001      | 2002  | 8007009    | 9          | 9             | 322           | 5477        | 4633        | -844           | -49227.260000000000000  |
| 2001      | 2002  | 8013001    | 13         | 9             | 17            | 5323        | 4426        | -897           | -16213.790000000000000  |
| 2001      | 2002  | 8015003    | 4          | 9             | 289           | 6091        | 4705        | -1386          | -25144.750000000000000  |
| 2001      | 2002  | 9001002    | 1          | 9             | 311           | 5275        | 4403        | -872           | -31535.400000000000000  |
| 2001      | 2002  | 9001002    | 1          | 9             | 519           | 5189        | 4352        | -837           | -1173.870000000000000   |
| 2001      | 2002  | 9001002    | 1          | 9             | 812           | 6067        | 5051        | -1016          | -105166.180000000000000 |
| 2001      | 2002  | 9002002    | 2          | 9             | 556           | 6049        | 4528        | -1521          | -75082.110000000000000  |
| 2001      | 2002  | 9002004    | 2          | 9             | 578           | 6004        | 4718        | -1286          | -56842.380000000000000  |
| 2001      | 2002  | 9002008    | 2          | 9             | 202           | 5985        | 4496        | -1489          | -56963.470000000000000  |
| 2001      | 2002  | 9003002    | 3          | 9             | 1000          | 5922        | 4524        | -1398          | -23733.560000000000000  |
| 2001      | 2002  | 9003004    | 3          | 9             | 25            | 6332        | 5220        | -1112          | -40286.670000000000000  |
| 2001      | 2002  | 9004002    | 4          | 9             | 515           | 5338        | 4368        | -970           | -48595.800000000000000  |
| 2001      | 2002  | 9004002    | 4          | 9             | 55            | 5893        | 4222        | -1671          | -105000.270000000000000 |
| 2001      | 2002  | 9004008    | 4          | 9             | 256           | 5617        | 4744        | -873           | -21933.610000000000000  |
| 2001      | 2002  | 9004008    | 4          | 9             | 454           | 6136        | 4646        | -1490          | -48264.840000000000000  |
| 2001      | 2002  | 9004012    | 4          | 9             | 621           | 5824        | 5005        | -819           | 5754.680000000000000    |
| 2001      | 2002  | 9005002    | 5          | 9             | 226           | 6772        | 5724        | -1048          | -90289.970000000000000  |
| 2001      | 2002  | 9005002    | 5          | 9             | 35            | 5869        | 4869        | -1000          | -43514.650000000000000  |
| 2001      | 2002  | 9005002    | 5          | 9             | 498           | 5738        | 4825        | -913           | 21381.520000000000000   |
| 2001      | 2002  | 9005002    | 5          | 9             | 565           | 6227        | 5383        | -844           | -44629.690000000000000  |
| 2001      | 2002  | 9005008    | 5          | 9             | 557           | 5573        | 4377        | -1196          | -73326.840000000000000  |
| 2001      | 2002  | 9006002    | 6          | 9             | 903           | 5448        | 3869        | -1579          | -49244.900000000000000  |
| 2001      | 2002  | 9006004    | 6          | 9             | 620           | 5199        | 3852        | -1347          | -60033.010000000000000  |
| 2001      | 2002  | 9006006    | 6          | 9             | 36            | 6197        | 4589        | -1608          | -41703.810000000000000  |
| 2001      | 2002  | 9006008    | 6          | 9             | 20            | 5239        | 4401        | -838           | 9089.090000000000000    |
| 2001      | 2002  | 9006010    | 3          | 9             | 99            | 5845        | 4248        | -1597          | -75341.470000000000000  |
| 2001      | 2002  | 9006010    | 6          | 9             | 373           | 6166        | 4361        | -1805          | -49562.850000000000000  |
| 2001      | 2002  | 9007002    | 7          | 9             | 207           | 7049        | 5842        | -1207          | 11539.310000000000000   |
| 2001      | 2002  | 9007002    | 7          | 9             | 306           | 5541        | 4721        | -820           | -24705.640000000000000  |
| 2001      | 2002  | 9007004    | 7          | 9             | 968           | 6270        | 4824        | -1446          | -52481.810000000000000  |
| 2001      | 2002  | 9007008    | 7          | 9             | 122           | 5694        | 4858        | -836           | -33392.200000000000000  |
| 2001      | 2002  | 9007008    | 7          | 9             | 766           | 4885        | 3791        | -1094          | -58206.560000000000000  |
| 2001      | 2002  | 9008002    | 8          | 9             | 539           | 6057        | 4909        | -1148          | -58233.970000000000000  |
| 2001      | 2002  | 9008008    | 8          | 9             | 1             | 5103        | 3966        | -1137          | -92689.440000000000000  |
| 2001      | 2002  | 9008008    | 8          | 9             | 535           | 5856        | 4550        | -1306          | -82309.910000000000000  |
| 2001      | 2002  | 9008010    | 2          | 9             | 954           | 5579        | 4718        | -861           | -15482.730000000000000  |
| 2001      | 2002  | 9008010    | 8          | 9             | 593           | 5372        | 4366        | -1006          | -14403.220000000000000  |
| 2001      | 2002  | 9009002    | 9          | 9             | 633           | 5828        | 4378        | -1450          | -56879.850000000000000  |
| 2001      | 2002  | 9009004    | 12         | 9             | 755           | 5751        | 4765        | -986           | 12808.310000000000000   |
| 2001      | 2002  | 9009008    | 9          | 9             | 3             | 5903        | 4395        | -1508          | -59181.360000000000000  |
| 2001      | 2002  | 9009010    | 1          | 9             | 311           | 7151        | 5271        | -1880          | -108594.450000000000000 |
| 2001      | 2002  | 9010002    | 10         | 9             | 189           | 5826        | 5030        | -796           | -87415.200000000000000  |
| 2001      | 2002  | 9010002    | 10         | 9             | 242           | 5575        | 4446        | -1129          | -30983.110000000000000  |
| 2001      | 2002  | 9010004    | 10         | 9             | 110           | 5322        | 4099        | -1223          | -104954.420000000000000 |
| 2001      | 2002  | 9010004    | 3          | 9             | 948           | 5325        | 4246        | -1079          | -102933.470000000000000 |
| 2001      | 2002  | 9010008    | 10         | 9             | 317           | 6031        | 4746        | -1285          | -58812.150000000000000  |
| 2001      | 2002  | 9010008    | 10         | 9             | 621           | 5809        | 4244        | -1565          | -65205.880000000000000  |
| 2001      | 2002  | 9010008    | 10         | 9             | 9             | 5647        | 4584        | -1063          | -26049.750000000000000  |
| 2001      | 2002  | 9010010    | 10         | 9             | 352           | 6340        | 5367        | -973           | -51283.740000000000000  |
| 2001      | 2002  | 9011002    | 11         | 9             | 390           | 6451        | 5027        | -1424          | -146066.630000000000000 |
| 2001      | 2002  | 9011004    | 11         | 9             | 730           | 5867        | 4364        | -1503          | -117501.830000000000000 |
| 2001      | 2002  | 9011008    | 11         | 9             | 77            | 5402        | 4370        | -1032          | -75297.600000000000000  |
| 2001      | 2002  | 9011010    | 11         | 9             | 254           | 7800        | 5501        | -2299          | -108339.670000000000000 |
| 2001      | 2002  | 9012002    | 12         | 9             | 622           | 5754        | 4911        | -843           | -52169.710000000000000  |
| 2001      | 2002  | 9012004    | 8          | 9             | 306           | 5664        | 4811        | -853           | -58460.570000000000000  |
| 2001      | 2002  | 9012008    | 12         | 9             | 377           | 5618        | 4464        | -1154          | -71600.710000000000000  |
| 2001      | 2002  | 9012008    | 12         | 9             | 583           | 5392        | 4465        | -927           | -14222.650000000000000  |
| 2001      | 2002  | 9012008    | 12         | 9             | 879           | 5586        | 4553        | -1033          | -6631.280000000000000   |
| 2001      | 2002  | 9013002    | 13         | 9             | 161           | 5738        | 4531        | -1207          | -43916.190000000000000  |
| 2001      | 2002  | 9013002    | 13         | 9             | 76            | 5338        | 4132        | -1206          | -74962.690000000000000  |
| 2001      | 2002  | 9013008    | 13         | 9             | 383           | 5662        | 4710        | -952           | -64733.880000000000000  |
| 2001      | 2002  | 9013008    | 13         | 9             | 95            | 5658        | 4797        | -861           | -3222.530000000000000   |
| 2001      | 2002  | 9013010    | 12         | 9             | 28            | 6147        | 4252        | -1895          | -79962.280000000000000  |
| 2001      | 2002  | 9013010    | 13         | 9             | 288           | 5731        | 4618        | -1113          | -89316.190000000000000  |
| 2001      | 2002  | 9014002    | 14         | 9             | 304           | 6238        | 4795        | -1443          | -55308.300000000000000  |
| 2001      | 2002  | 9014004    | 6          | 9             | 313           | 5087        | 4247        | -840           | -29826.530000000000000  |
| 2001      | 2002  | 9014010    | 14         | 9             | 31            | 6194        | 4957        | -1237          | -8247.540000000000000   |
| 2001      | 2002  | 9014010    | 2          | 9             | 727           | 6186        | 5084        | -1102          | -12417.180000000000000  |
| 2001      | 2002  | 9015002    | 15         | 9             | 303           | 6113        | 4980        | -1133          | -39501.530000000000000  |
| 2001      | 2002  | 9015002    | 15         | 9             | 531           | 5704        | 4741        | -963           | -42865.460000000000000  |
| 2001      | 2002  | 9015002    | 15         | 9             | 979           | 5386        | 4461        | -925           | -49108.470000000000000  |
| 2001      | 2002  | 9016002    | 16         | 9             | 761           | 6355        | 4107        | -2248          | -87034.020000000000000  |
| 2001      | 2002  | 9016010    | 16         | 9             | 140           | 5966        | 4867        | -1099          | -37568.830000000000000  |
| 2001      | 2002  | 9016010    | 16         | 9             | 662           | 5432        | 4485        | -947           | -20364.730000000000000  |
+-----------+-------+------------+------------+---------------+---------------+-------------+-------------+----------------+-------------------------+
