+-------------+--------------+--------------------------------------+------------------+----------+-----------+
| c_last_name | c_first_name | substr(ms.s_city,Int64(1),Int64(30)) | ss_ticket_number | amt      | profit    |
|             |              | Midway                               | 76802            | 4425.76  | -7127.41  |
|             |              | Midway                               | 7696             | 0.00     |           |
|             |              | Midway                               | 7696             | 2093.28  | -9202.28  |
|             |              | Midway                               | 77368            | 2359.76  | -9059.58  |
|             |              | Midway                               | 81127            | 1664.02  | -13988.83 |
|             |              | Midway                               | 8272             | 209.89   | -8089.08  |
|             |              | Midway                               | 83601            | 3905.96  | -8018.59  |
|             |              | Midway                               | 84155            | 1956.89  | -9444.35  |
|             |              | Midway                               | 88444            | 5511.84  | -9553.76  |
|             |              | Midway                               | 88663            | 5035.89  | -11521.85 |
|             |              | Midway                               | 95467            | 239.13   | -5592.89  |
|             |              | Midway                               | 97140            | 104.40   | -7167.50  |
|             |              | Midway                               | 97953            | 1698.24  | -19708.36 |
+-------------+--------------+--------------------------------------+------------------+----------+-----------+
