# hbm_bytes per cuDF call, from an Nsight capture with GPU metrics on.
# The coordinates are records.tsv's, and joining on all of them is the point:
#   this file's TIMES are not usable — a capture costs the query ~7%, a heavy
#   scan ~11% — so it carries traffic, and the times come from a clean run.
# device_busy_us/device_idle_us are here as a READING of this capture, not as
#   a measurement to fit: idle inside a call is the device waiting through the
#   host prologue, and it says whether a thin sample count is a short call or
#   a stalled one.
# samples = GPU metric samples inside the call. Under ~10 the integral is an
#   estimate from too few points; the fit should weight or drop those rows.
dataset	sf	query	mode	node_seq	node_type	lane	recipe_seq	recipe_kind	call_index	run_index	hbm_read_bytes	hbm_write_bytes	hbm_bytes	samples	device_busy_us	device_idle_us
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	3	26400000	0	26400000	12	114	472
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	3	300000000	182400000	482400000	117	1791	4074
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	3	4800000	9600000	14400000	5	32	193
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	3	3139200000	1848000000	4987200000	168	4606	3767
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	3	1780800000	2325600000	4106400000	907	35921	9412
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	3	71157600000	36288000000	107445600000	1177	57236	1617
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	3	23479200000	57945600000	81424800000	12232	217331	394294
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	4	0	0	0	0	1	12
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	4	0	0	0	0	1	16
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	4	9600000	0	9600000	5	53	213
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	4	0	0	0	1	1	14
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	4	21600000	0	21600000	11	113	477
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	4	295200000	180000000	475200000	118	1791	4139
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	4	4800000	12000000	16800000	5	31	200
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	4	3115200000	1816800000	4932000000	167	4600	3782
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	4	1807200000	2313600000	4120800000	902	35942	9164
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	4	71263200000	36312000000	107575200000	1178	57258	1615
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	4	23284800000	57806400000	81091200000	12236	217367	394422
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	5	0	0	0	1	1	12
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	5	0	0	0	0	1	18
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	5	7200000	0	7200000	5	53	224
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	5	0	0	0	0	1	14
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	5	24000000	0	24000000	12	112	475
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	5	338400000	208800000	547200000	117	1785	4056
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	5	4800000	7200000	12000000	4	31	189
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	5	3148800000	1845600000	4994400000	167	4602	3746
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	5	1845600000	2316000000	4161600000	904	35959	9235
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	5	71188800000	36247200000	107436000000	1177	57253	1605
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	5	23529600000	57849600000	81379200000	12215	217364	393398
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	6	0	0	0	0	1	12
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	6	0	0	0	0	1	16
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	6	9600000	0	9600000	6	53	218
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	6	0	0	0	0	1	13
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	6	24000000	0	24000000	12	114	477
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	6	309600000	196800000	506400000	117	1787	4051
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	6	7200000	9600000	16800000	5	32	188
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	6	3115200000	1814400000	4929600000	166	4606	3722
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	6	1802400000	2313600000	4116000000	901	35908	9160
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	6	71184000000	36314400000	107498400000	1177	57238	1610
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	6	23361600000	57787200000	81148800000	12240	217418	394623
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	7	0	0	0	0	1	16
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	7	0	0	0	0	1	18
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	7	4800000	0	4800000	6	52	215
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	7	0	0	0	0	1	13
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	7	21600000	0	21600000	13	113	490
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	7	345600000	189600000	535200000	117	1784	4078
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	7	9600000	9600000	19200000	4	32	190
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	7	3146400000	1840800000	4987200000	167	4610	3769
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	7	1821600000	2349600000	4171200000	905	35955	9280
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	7	71174400000	36307200000	107481600000	1177	57236	1619
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	7	23337600000	58267200000	81604800000	12244	217508	394705
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	8	0	0	0	0	1	11
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	8	2400000	0	2400000	1	1	18
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	8	4800000	0	4800000	5	53	220
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	8	2400000	0	2400000	1	1	13
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	8	24000000	2400000	26400000	12	115	479
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	8	276000000	160800000	436800000	117	1783	4095
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	8	9600000	9600000	19200000	4	31	190
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	8	3103200000	1807200000	4910400000	167	4602	3788
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	8	1850400000	2323200000	4173600000	904	35920	9308
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	8	71145600000	36321600000	107467200000	1177	57264	1597
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	8	23503200000	57820800000	81324000000	12233	217356	394278
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	9	2400000	0	2400000	1	1	12
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	9	0	0	0	1	1	19
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	9	2400000	0	2400000	5	52	212
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	9	0	0	0	0	1	13
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	9	21600000	0	21600000	12	112	472
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	9	321600000	180000000	501600000	117	1787	4084
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	9	4800000	9600000	14400000	4	31	199
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	9	3136800000	1850400000	4987200000	168	4600	3769
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	9	1963200000	2342400000	4305600000	906	35948	9344
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	9	71200800000	36316800000	107517600000	1177	57237	1591
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	9	23359200000	57604800000	80964000000	12231	217370	394144
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	0	0	0	0	0	1	11
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	0	0	0	0	0	1	15
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	0	14400000	2400000	16800000	6	56	216
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	0	0	0	0	0	1	12
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	0	727200000	612000000	1339200000	22	710	355
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	0	4903200000	2347200000	7250400000	93	4071	578
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	0	3148800000	6074400000	9223200000	1685	36570	47699
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	1	0	0	0	0	1	10
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	1	0	0	0	0	1	17
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	1	12000000	2400000	14400000	6	55	212
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	1	0	0	0	0	1	12
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	1	676800000	564000000	1240800000	21	705	342
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	1	4953600000	2397600000	7351200000	93	4069	572
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	1	3134400000	6108000000	9242400000	1671	36566	46990
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	2	0	0	0	0	1	11
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	2	0	0	0	0	1	16
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	2	12000000	2400000	14400000	6	55	219
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	2	0	0	0	0	1	13
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	2	727200000	612000000	1339200000	22	711	357
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	2	4903200000	2349600000	7252800000	93	4069	568
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	2	3040800000	6088800000	9129600000	1662	36530	46578
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	3	0	0	0	0	1	10
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	3	2400000	0	2400000	1	1	16
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	3	12000000	2400000	14400000	5	56	221
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	3	2400000	0	2400000	1	1	12
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	3	729600000	612000000	1341600000	21	708	336
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	3	4920000000	2344800000	7264800000	93	4070	572
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	3	3021600000	6096000000	9117600000	1651	36566	45978
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	4	0	0	0	0	1	11
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	4	0	0	0	0	1	15
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	4	12000000	2400000	14400000	5	56	212
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	4	2400000	0	2400000	1	1	12
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	4	715200000	604800000	1320000000	21	705	359
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	4	4929600000	2349600000	7279200000	93	4071	587
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	4	3000000000	6259200000	9259200000	1645	36524	45711
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	5	0	0	0	0	1	11
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	5	0	0	0	0	1	15
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	5	12000000	4800000	16800000	5	55	213
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	5	2400000	0	2400000	1	1	12
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	5	669600000	554400000	1224000000	20	698	339
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	5	4963200000	2407200000	7370400000	94	4082	584
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	5	3076800000	6129600000	9206400000	1640	36550	45460
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	6	0	0	0	0	1	13
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	6	0	0	0	0	1	15
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	6	14400000	4800000	19200000	6	56	214
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	6	0	0	0	0	1	13
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	6	669600000	556800000	1226400000	21	708	346
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	6	4903200000	2340000000	7243200000	93	4072	583
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	6	3062400000	6129600000	9192000000	1639	36529	45440
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	7	0	0	0	0	1	12
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	7	0	0	0	0	1	15
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	7	14400000	2400000	16800000	6	55	216
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	7	0	0	0	0	1	11
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	7	700800000	590400000	1291200000	21	705	337
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	7	4929600000	2368800000	7298400000	93	4069	583
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	7	3062400000	6081600000	9144000000	1642	36576	45496
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	8	0	0	0	0	1	12
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	8	2400000	0	2400000	1	1	15
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	8	12000000	2400000	14400000	5	55	213
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	8	0	0	0	1	1	12
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	8	720000000	609600000	1329600000	21	706	350
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	8	4912800000	2349600000	7262400000	93	4067	581
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	8	3156000000	6141600000	9297600000	1635	36541	45183
tpch	40	q6	bp-tp1-single	4	GpuProject	0	6	CudfProject	0	9	0	0	0	0	1	11
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	9	0	0	0	0	1	15
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	9	14400000	2400000	16800000	6	57	213
tpch	40	q6	bp-tp1-single	3	GpuAggregateBatches	0	5	CudfProject{finalize}	0	9	0	0	0	0	1	12
tpch	40	q6	bp-tp1-single	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	9	703200000	590400000	1293600000	21	699	340
tpch	40	q6	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	9	4920000000	2368800000	7288800000	93	4081	582
tpch	40	q6	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	9	3062400000	6122400000	9184800000	1629	36533	44948
tpch	40	q6	bp-tp4-sized	6	GpuProject	0	8	CudfProject	0	0	0	0	0	0	1	11
tpch	40	q6	bp-tp4-sized	5	GpuAggregateBatches	0	5	CudfCoalescePartitions	0	0	0	0	0	0	5	24
tpch	40	q6	bp-tp4-sized	5	GpuAggregateBatches	0	6	CudfAggregate{Merge}	0	0	2400000	0	2400000	6	46	216
tpch	40	q6	bp-tp4-sized	5	GpuAggregateBatches	0	7	CudfProject{finalize}	0	0	0	0	0	0	1	13
tpch	40	q6	bp-tp4-sized	3	GpuAggregateBatches	0	3	CudfCoalescePartitions	0	0	0	0	0	0	1	16
tpch	40	q6	bp-tp4-sized	3	GpuAggregateBatches	0	4	CudfAggregate{Merge}	0	0	14400000	14400000	28800000	6	54	214
tpch	40	q6	bp-tp4-sized	3	GpuAggregateBatches	1	3	CudfCoalescePartitions	1	0	0	0	0	0	0	13
tpch	40	q6	bp-tp4-sized	3	GpuAggregateBatches	1	4	CudfAggregate{Merge}	1	0	2400000	4800000	7200000	5	46	212
tpch	40	q6	bp-tp4-sized	3	GpuAggregateBatches	2	3	CudfCoalescePartitions	2	0	2400000	0	2400000	1	1	12
tpch	40	q6	bp-tp4-sized	3	GpuAggregateBatches	2	4	CudfAggregate{Merge}	2	0	7200000	4800000	12000000	5	46	225
tpch	40	q6	bp-tp4-sized	3	GpuAggregateBatches	3	3	CudfCoalescePartitions	3	0	0	0	0	0	1	13
tpch	40	q6	bp-tp4-sized	3	GpuAggregateBatches	3	4	CudfAggregate{Merge}	3	0	4800000	7200000	12000000	6	45	214
tpch	40	q6	bp-tp4-sized	2	GpuAggregate	0	2	CudfAggregate{Partial}	0	0	79200000	88800000	168000000	12	247	373
tpch	40	q6	bp-tp4-sized	2	GpuAggregate	1	2	CudfAggregate{Partial}	1	0	115200000	120000000	235200000	12	243	338
tpch	40	q6	bp-tp4-sized	2	GpuAggregate	2	2	CudfAggregate{Partial}	2	0	79200000	98400000	177600000	11	246	328
tpch	40	q6	bp-tp4-sized	2	GpuAggregate	3	2	CudfAggregate{Partial}	3	0	100800000	108000000	208800000	12	249	330
tpch	40	q6	bp-tp4-sized	1	GpuFilter	0	1	CudfFilter	0	0	1221600000	626400000	1848000000	35	1170	587
tpch	40	q6	bp-tp4-sized	1	GpuFilter	1	1	CudfFilter	1	0	1236000000	621600000	1857600000	35	1178	544
tpch	40	q6	bp-tp4-sized	1	GpuFilter	2	1	CudfFilter	2	0	1214400000	619200000	1833600000	34	1169	545
tpch	40	q6	bp-tp4-sized	1	GpuFilter	3	1	CudfFilter	3	0	1257600000	650400000	1908000000	35	1187	543
tpch	40	q6	bp-tp4-sized	0	GpuLoadParquet	0	0	CudfScan	0	0	1819200000	2532000000	4351200000	1072	28968	24642
tpch	40	q6	bp-tp4-sized	0	GpuLoadParquet	1	0	CudfScan	1	0	1845600000	2664000000	4509600000	1044	28998	23213
tpch	40	q6	bp-tp4-sized	0	GpuLoadParquet	2	0	CudfScan	2	0	1884000000	2565600000	4449600000	1063	29001	24147
tpch	40	q6	bp-tp4-sized	0	GpuLoadParquet	3	0	CudfScan	3	0	1802400000	2623200000	4425600000	1047	28933	23375
