# peacockdb cost-model calibration record. One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# The partition is not a column: a node's regions are written consecutively, p0 first.
# A benchmark executes its plan several times and writes EVERY measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, label, node_seq) recurs, and a repeat of the root's node_seq is
#   where one execution's rows end. Spread across those repeats is data, not noise.
# ONE FILE IS ONE RUN. The `# run:` lines below hold what is constant across it, and
#   each of them changes what the microseconds MEAN — so appending a run that disagrees
#   with them is refused rather than merged.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# node_type = the plan node's name. Its cost CATEGORY is deliberately not a column: it
#   is a lookup in cost_model.conf, which changes on its own, and a column would freeze
#   the taxonomy as it stood when the rows were written. The writer still refuses to
#   emit a node type the taxonomy does not bin.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# run: timing_mode=events
# run: build_profile=benchmarks opt-level=3
# run: allocator=rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
source	dataset	sf	query	label	node_seq	node_type	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	95062	95058	95064
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60920	60919	60922
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	94698	94693	94700
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60719	60718	60721
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	94513	94509	94515
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60970	60968	60972
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	94628	94624	94630
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	3	33952	33951	33955
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	610	613	612
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	39147	39138	39151
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	3	282882	282881	282885
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	3	33957	33956	33960
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	622	624	624
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	38985	38975	38989
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	281607	281606	281609
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	3	33938	33937	33941
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	614	617	616
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	39006	38995	39010
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	284007	284006	284009
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	2	33942	33941	33944
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	642	641	644
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	38887	38877	38891
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	282000	281999	282002
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	2	33944	33942	33946
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	607	610	609
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	38965	38954	38969
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	281613	281612	281615
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	2	33939	33938	33941
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	613	616	615
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	39062	39053	39066
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	283877	283875	283879
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	4	33935	33934	33939
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	622	625	624
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	39085	39075	39089
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	282279	282278	282281
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	2	33951	33950	33953
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	3	622	625	625
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	38923	38914	38927
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	281912	281911	281914
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	2	33932	33930	33934
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	618	621	620
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	38884	38875	38888
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	282138	282137	282140
peacockdb	tpch	40	anti-join	full_table-tp1-full	5	GpuCoalesceBatchesExec	47993411	6240391098	47993411	6240391098	6240391098	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	4	GpuHashJoinExec	61200419	7811266484	47993411	6240391098	6240391098	4	33955	33953	33959
peacockdb	tpch	40	anti-join	full_table-tp1-full	2	GpuCoalesceBatchesExec	1200419	9753405	1200419	9753405	9753405	0	0	0	0
peacockdb	tpch	40	anti-join	full_table-tp1-full	1	GpuFilterExec	6000000	127501181	1200419	9753405	9753405	2	615	618	617
peacockdb	tpch	40	anti-join	full_table-tp1-full	0	GpuScanExec	0	0	6000000	127501181	127501181	4	39092	39082	39096
peacockdb	tpch	40	anti-join	full_table-tp1-full	3	GpuScanExec	0	0	60000000	7801513079	7801513079	2	282480	282479	282482
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	334	333	334
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	895	891	897
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	883	882	884
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	339	338	339
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	836	832	838
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	857	856	858
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	325	324	325
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	845	841	847
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	855	853	856
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	327	326	327
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	847	843	849
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	850	848	851
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	339	338	339
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	829	826	831
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	928	926	929
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	335	334	335
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	856	853	858
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	876	875	877
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	320	319	320
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	807	804	809
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	832	831	833
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	320	319	320
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	827	823	829
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	855	854	856
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	339	338	339
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	803	800	805
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	860	859	861
peacockdb	tpch	40	cross-join	full_table-tp1-full	2	GpuCrossJoinExec	30	2893	125	22898	22898	0	324	323	324
peacockdb	tpch	40	cross-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	809	806	811
peacockdb	tpch	40	cross-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	839	838	840
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	2	7450	7449	7452
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	5	290388	290377	290393
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	3	7449	7448	7452
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	5	290776	290766	290781
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	3	7444	7443	7447
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	5	290536	290525	290541
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	3	7441	7439	7444
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	5	289960	289949	289965
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	3	7451	7450	7454
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	4	290485	290475	290489
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	3	7450	7449	7453
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	4	289684	289674	289688
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	3	7438	7437	7441
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	5	290250	290240	290255
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	3	7442	7441	7445
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	5	290468	290455	290473
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	3	7446	7445	7449
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	5	290554	290542	290559
peacockdb	tpch	40	filter-project	full_table-tp1-full	2	GpuCoalesceBatchesExec	96008105	2328196548	96008105	2328196548	2328196548	0	0	0	0
peacockdb	tpch	40	filter-project	full_table-tp1-full	1	GpuFilterExec	240012290	5820298034	96008105	2328196548	2328196548	2	7443	7441	7445
peacockdb	tpch	40	filter-project	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5820298034	5820298034	4	289135	289125	289139
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	70	607	606	677
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	866	862	868
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	852	850	853
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	62	636	635	698
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	838	834	840
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	843	841	844
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	60	620	619	680
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	821	817	823
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	827	826	828
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	60	597	596	657
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	813	809	815
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	837	836	838
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	58	608	607	666
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	1	818	813	819
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	829	828	830
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	60	603	601	663
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	823	819	825
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	839	838	840
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	60	601	600	661
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	826	821	828
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	868	867	869
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	70	602	601	672
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	801	797	803
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	834	833	835
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	59	629	628	688
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	798	794	800
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	822	821	823
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	2	GpuNestedLoopJoinExec	30	2893	50	9041	9041	64	638	637	702
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	0	GpuScanExec	0	0	5	435	435	2	850	846	852
peacockdb	tpch	40	nested-loop-join	full_table-tp1-full	1	GpuScanExec	0	0	25	2458	2458	1	873	872	874
peacockdb	tpch	40	q10	full_table-tp1-full	17	GpuSortExec	1535024	304809472	20	4102	4102	2	2728	2728	2730
peacockdb	tpch	40	q10	full_table-tp1-full	16	GpuProjectExec	1535024	304809472	1535024	304809472	304809472	0	509	508	509
peacockdb	tpch	40	q10	full_table-tp1-full	15	GpuAggregateExec	4583051	984084868	1535024	304809472	304809472	4	31583	31582	31587
peacockdb	tpch	40	q10	full_table-tp1-full	14	GpuProjectExec	4583051	984084868	4583051	984084868	984084868	1	939	939	940
peacockdb	tpch	40	q10	full_table-tp1-full	13	GpuCoalesceBatchesExec	4583051	984084868	4583051	984084868	984084868	0	0	0	0
peacockdb	tpch	40	q10	full_table-tp1-full	12	GpuHashJoinExec	4583076	951643450	4583051	984084868	984084868	1	6913	6970	6914
peacockdb	tpch	40	q10	full_table-tp1-full	0	GpuScanExec	0	0	25	389	389	2	835	830	837
peacockdb	tpch	40	q10	full_table-tp1-full	11	GpuCoalesceBatchesExec	4583051	951643061	4583051	951643061	951643061	0	0	0	0
peacockdb	tpch	40	q10	full_table-tp1-full	10	GpuHashJoinExec	61513185	2811532311	4583051	951643061	951643061	2	17782	16410	17784
peacockdb	tpch	40	q10	full_table-tp1-full	6	GpuCoalesceBatchesExec	2291403	420452862	2291403	420452862	420452862	0	0	0	0
peacockdb	tpch	40	q10	full_table-tp1-full	5	GpuHashJoinExec	8291403	1089395119	2291403	420452862	420452862	2	4983	4971	4985
peacockdb	tpch	40	q10	full_table-tp1-full	1	GpuScanExec	0	0	6000000	1052159819	1052159819	1	205654	205653	205655
