node_seq	node_type	partition	call	depth	executions	calls_per_exec	host_us	device_us	region_us
5	CudfHashJoin	0	allocate_like	1	10	6.0	14	0	5862
5	CudfHashJoin	0	copy_bitmask	1	10	18.0	113	24	5862
5	CudfHashJoin	0	copy_if	1	10	1.0	310	60	5862
5	CudfHashJoin	0	hash_join	1	10	1.0	27	14	5862
5	CudfHashJoin	0	inner_join	1	10	1.0	863	809	5862
5	CudfHashJoin	0	make_fixed_width_column	1	10	26.0	97	20	5862
5	CudfHashJoin	0	make_numeric_column	1	10	17.0	35	0	5862
5	CudfHashJoin	0	make_strings_column	1	10	2.0	0	0	5862
5	CudfHashJoin	0	mutable_view	1	10	74.0	11	0	5862
5	CudfHashJoin	0	allocate_like	2	10	12.0	28	0	5862
5	CudfHashJoin	0	bitmask_and	2	10	1.0	1	0	5862
5	CudfHashJoin	0	copy_bitmask	2	10	6.0	34	8	5862
5	CudfHashJoin	0	make_numeric_column	2	10	28.0	95	20	5862
5	CudfHashJoin	0	make_strings_column	2	10	2.0	0	0	5862
5	CudfHashJoin	0	mutable_view	2	10	16.0	3	0	5862
5	CudfHashJoin	0	allocate_like	3	10	6.0	13	0	5862
5	CudfHashJoin	0	mutable_view	3	10	2.0	0	0	5862
5	CudfProject	0	(unattributed)	0	10	1.0	12	1	12
5	CudfProject	0	copy_bitmask	0	10	1.0	1	0	12
6	CudfAggregate	0	(unattributed)	0	20	1.0	92	10	423
6	CudfAggregate	0	aggregate	0	20	1.0	239	50	423
6	CudfAggregate	0	binary_operation	0	20	1.0	79	18	423
6	CudfAggregate	0	copy_bitmask	0	20	1.0	7	1	423
6	CudfAggregate	0	make_fixed_width_column	0	20	1.0	2	0	423
6	CudfAggregate	0	mutable_view	0	20	1.0	0	0	423
6	CudfAggregate	0	allocate_like	1	20	2.0	5	0	423
6	CudfAggregate	0	bitmask_and	1	20	0.5	14	2	423
6	CudfAggregate	0	copy_bitmask	1	20	2.5	10	2	423
6	CudfAggregate	0	make_fixed_width_column	1	20	1.0	2	0	423
6	CudfAggregate	0	make_numeric_column	1	20	2.0	4	0	423
6	CudfAggregate	0	mutable_view	1	20	6.5	1	0	423
6	CudfAggregate	0	allocate_like	2	20	2.0	4	0	423
6	CudfAggregate	0	copy_bitmask	2	20	0.5	2	1	423
6	CudfAggregate	0	make_fixed_point_column	2	20	1.0	2	0	423
6	CudfProject	0	(unattributed)	0	10	1.0	11	1	11
6	CudfProject	0	copy_bitmask	0	10	1.0	1	0	11
7	CudfCoalescePartitions	0	(unattributed)	0	10	1.0	4	0	15
7	CudfCoalescePartitions	0	concatenate	0	10	1.0	11	1	15
7	CudfCoalescePartitions	0	allocate_like	1	10	1.0	2	0	15
7	CudfCoalescePartitions	0	mutable_view	1	10	1.0	0	0	15
7	CudfProject	0	(unattributed)	0	10	1.0	12	1	12
7	CudfProject	0	copy_bitmask	0	10	1.0	1	0	12
8	CudfAggregate	0	(unattributed)	0	10	1.0	68	7	273
8	CudfAggregate	0	aggregate	0	10	1.0	199	46	273
8	CudfAggregate	0	make_fixed_width_column	0	10	1.0	3	0	273
8	CudfAggregate	0	mutable_view	0	10	1.0	0	0	273
8	CudfAggregate	0	allocate_like	1	10	2.0	5	0	273
8	CudfAggregate	0	copy_bitmask	1	10	1.0	1	0	273
8	CudfAggregate	0	make_fixed_width_column	1	10	1.0	2	0	273
8	CudfAggregate	0	make_numeric_column	1	10	2.0	4	0	273
8	CudfAggregate	0	mutable_view	1	10	5.0	1	0	273
8	CudfAggregate	0	allocate_like	2	10	2.0	4	0	273
8	CudfAggregate	0	make_fixed_point_column	2	10	1.0	2	0	273
8	CudfProject	0	(unattributed)	0	10	1.0	11	1	11
8	CudfProject	0	copy_bitmask	0	10	1.0	1	0	11
9	CudfProject	0	(unattributed)	0	10	1.0	12	1	13
9	CudfProject	0	copy_bitmask	0	10	1.0	1	0	13
10	CudfProject	0	(unattributed)	0	10	1.0	11	1	12
10	CudfProject	0	copy_bitmask	0	10	1.0	1	0	12
