dataset,sf,query,plan,ftc_tp1,ftc_tp8,partitioned_cpu,full_table_gpu,partitioned_gpu,bp_tp1_single,bp_tp1_rowgroup,bp_tp4_single,bp_tp4_rowgroup,bp_tp4_sized,plan_status,features,tickets
tpcds,1,q91,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,string_like,
tpcds,1,q92,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,avg top_n,
tpcds,1,q93,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n outer_join,97
tpcds,1,q94,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,anti_join semi_join corr_subquery count_distinct top_n,97 59 80 62
tpcds,1,q95,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join corr_subquery count_distinct top_n,97 62
tpcds,1,q96,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q97,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n outer_join,97
tpcds,1,q98,enabled,enabled,enabled,na,enabled,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions,32 143
tpcds,1,q99,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpch,1,q1,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,avg,
tpch,1,q2,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,string_like top_n,
tpch,1,q3,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpch,1,q4,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join,97
tpch,1,q5,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,q6,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,q7,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,q8,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,q9,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,string_like,
tpch,1,q10,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpch,1,q11,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,q12,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,q13,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,string_like outer_join,
tpch,1,q14,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,string_like,
tpch,1,q15,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,q16,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,anti_join semi_join count_distinct string_like,97 59 80 62
tpch,1,q17,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,avg,
tpch,1,q18,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join top_n,97
tpch,1,q19,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,q20,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join string_like,97
tpch,1,q21,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,anti_join semi_join corr_subquery top_n,97 59 80
tpch,1,q22,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,anti_join avg,97 59 80
tpch,1,aggregate_groupby,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,anti_join,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,anti_join semi_join,
tpch,1,cross_join,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,cross_join,
tpch,1,filter_project,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,hash_join,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,,116
tpch,1,join_int,na,na,na,enabled,na,enabled,enabled,enabled,enabled,enabled,enabled,ok,,116
tpch,1,left_join,enabled,na,enabled,enabled,na,enabled,enabled,enabled,enabled,enabled,enabled,ok,outer_join,97
tpch,1,mixed_join,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,,116
tpch,1,nested_limits,na,na,na,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,limit_offset cross_join,
tpch,1,nested_loop_join,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,nested_loop_join,
tpch,1,rollup_over_join,na,na,na,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,rollup,
tpch,1,scan_limit,enabled,enabled,na,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpch,1,semi_join,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,semi_join,
tpch,1,shuffle_additive,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,,
tpch,1,shuffle_additive_avg,na,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,avg,
tpch,1,shuffle_stddev,na,enabled,enabled,na,enabled,disabled,enabled,enabled,enabled,enabled,enabled,ok,stddev_var,103
